Family ,Species ,PhyloName,Skull Length,Mandible length ,CL,CW,P1L,P1W,P2L,P2W,P3L,P3W,P4L,P4W,M1L,M1W,cL,cw,p1L,p1W,p2L,p2W,p3L,p3W,p4L,p4W,m1L,m1W
Canidae,Canis latrans,Canis_latrans,,136.94,9.69,5.31,6.03,3.27,10.49,3.78,11.54,4.08,19.44,9.59,12.02,16.48,9.51,5.52,4.84,2.7,9.88,3.94,10.58,4.12,11.85,4.99,21.58,7.62
Canidae,Vulpes vulpes ,Vulpes_vulpes,139.45,104.31,5.73,3.49,4.53,2.46,7.91,2.73,8.73,2.94,12.83,6.31,8.19,11.99,5.87,3.68,3.97,2.34,8.01,2.94,8.75,3.01,9.3,4.01,14.64,6.01
Canidae,Vulpes velox,Vulpes_velox,115.3,86.01,4.56,2.6,3.12,1.74,5.83,2.6,6.84,2.35,11.3,4.46,6.69,8.39,4.91,3.13,2.93,1.63,5.94,2.27,6.57,2.09,7.23,2.79,11.39,4.14
Canidae,Vulpus lagopus ,Vulpes_lagopus,146.45,108.91,7.33,4.53,4.13,2.73,7.84,3.06,9.09,3.24,13.02,7.4,9.85,1.5,7.6,4.91,3.65,2.72,8.29,3.35,8.89,3.62,9.93,4.53,14.49,6.03
Canidae,Vulpes chama,Vulpes_chama,102.53,76.81,4.03,2.55,2.97,1.46,5.04,1.97,5.46,2.35,9.68,3.97,7.09,10.25,3.64,2.46,2.46,1.29,5.51,1.9,5.71,2.2,6.71,2.78,10.35,4.59
Canidae,Urocyon cinereoargteus,Urocyon_cinereoargenteus,122.5,90.2,4.45,2.85,3.1,1.8,5.71,2.21,6.5,2.21,10.31,4.89,7.8,10.6,3.9,2.85,2.35,1.2,5.25,2.21,5.98,2.35,7,2.99,11.65,4.61
Canidae,Orocyon megalotis,Otocyon_megalotis,115.58,82.47,4.21,2.61,2.5,1.43,,,4.9,1.93,5.15,4.31,4.61,6.4,4.17,2.37,1.62,1.9,3.58,1.59,3.93,1.85,4.85,2.58,5.27,3.46
Canidae,Nyctereutes procyonoides,Nyctereutes_procyonoides,120.8,85.73,4.92,3.61,3.39,2.29,4.94,2.46,5.8,2.89,9.47,5.38,8.58,9.14,4.24,3.79,3.22,1.86,5.37,2.23,5.58,2.5,6.25,3.08,11.51,4.91
Felidae,Felis wiedii,Leopardus_wiedii,95.42,64.95,5.28,4.02,,,2.42,1.61,6.58,3.87,11.57,5.44,1.8,3.07,4.76,3.6,,,,,5.61,2.94,7.08,3.65,9.42,3.95
Felidae,Felis sylvestris libyca,Felis_silvestris,100.45,64.98,6.39,4.14,,,2.93,2.39,7.36,3.5,11.39,6.19,1.77,3.15,6.37,4.17,,,,,6.04,3.07,7.83,3.73,9.22,4.72
Felidae,Lynx rufus ,Lynx_rufus,120.01,83.28,7.2,5.67,,,,,9.45,4.73,15.31,7.83,2.5,3.73,6.55,4.59,,,,,7.54,4.08,9.88,4.83,11.65,5.21
Herpestidae,Suricata suricotta,Suricata_suricatta,62.98,43.92,3.13,2.18,,,2.96,2.4,3.16,2.73,3.85,5.07,2.94,4.98,2.86,2.1,,,2.63,1.67,2.81,1.98,4.4,2.63,4.32,3.06
Herpestidae,Herpestes auropunctatus,Herpestes_auropunctatus,66.44,41.63,2.77,1.97,0.88,1.08,2.74,1.55,3.38,2.52,5.62,4.11,,,2.67,2.08,0.99,0.96,2.76,1.56,3.1,1.74,3.55,2.04,5.33,2.82
Musteidae,Martes zibellina,Martes_zibellina,74.21,46.97,4.14,2.74,2.22,1.88,4.23,2.03,4.37,2.74,7.37,4.56,3.13,7.09,5.08,3.13,2.31,1.65,3.86,1.93,4.35,2.06,5.1,2.39,8.62,3.21
Mustelidae ,Martes americana,Martes_americana,68.67,42.33,3.37,2.13,1.11,1.29,3.1,1.55,3.7,1.77,6.63,3.75,3,6.15,3.84,2.96,1.43,1.32,3.3,1.67,4,1.78,4.42,2.6,7.53,2.9
Mustelidae ,Mustela vison,Neovison_vison,74.86,43.73,4.24,3.26,,,2.36,1.56,4.15,2.41,7.22,4.62,4,6.34,4.02,3.62,,,3.04,1.8,3.35,2.05,6.62,2.57,8.22,3.54
Mustelidae ,Mustela erminea,Mustela_erminea,43.1,21.93,1.73,1.3,,,1,0.74,1.99,0.89,4.31,1.81,1.72,3.31,2.49,1.46,,,0.98,0.82,1.79,1,2.06,1.18,4.59,1.6
Mustelidae ,Mustela frenata,Mustela_frenata,50.42,27.4,2.06,1.08,,,1.63,0.86,2.74,1.23,4.98,2.5,2.68,4.37,2.27,1.72,,,1.27,1,2.13,1.1,2.7,1.3,5.27,2.07
Mustelidae ,Mustela putorius furo ,Mustela_putorius,61.56,34.84,2.78,2,,,1.45,1.1,3.03,1.61,5.47,2.95,2.71,5.02,2.97,2.2,,,1.75,1.1,2.43,1.49,3.37,1.66,6.08,2.5
Mustelidae ,Mephitis mephitis,Mephitis_mephitis,70.89,44.48,4.26,2.69,,,1.43,1.06,3.1,2.35,6.89,5.41,6.74,7.82,3.73,2.99,,,2.26,1.4,2.99,2.21,4.05,2.99,8.85,4.36
Mustelidae ,Connepatus mesoleucus,Conepatus_mesoleucus,64.85,41.11,4.37,3.1,,,,,2.62,2.3,6.17,4.42,7.05,7.75,4.37,2.98,,,2.19,1.95,3.08,2.52,3.92,2.84,8.18,5.01
Mustelidae ,Martes martes ,Martes_martes,81.48,53.06,4.09,2.58,1.57,1.63,4.12,2.07,4.93,2.58,7.7,4.98,6.04,7.91,4.79,2.93,1.92,1.73,4.03,2.22,4.88,2.49,5.52,2.86,8.91,3.78
Mustelidae ,Martes foina ,Martes_foina,81.75,52.85,4.46,3.05,1.62,1.39,4.23,2.17,4.8,2.63,9.17,5.38,5.19,8.02,5.14,3.35,1.41,1.46,3.93,2.36,4.65,2.38,5.89,2.84,8.96,3.94
Mustelidae ,Aonyx cinera,Aonyx_cinerea,77.98,50.07,4.17,3.43,,,2.93,2.17,4.84,3.35,10.03,8.07,7.58,10.02,4.56,3.23,,,2.75,2.07,3.95,2.9,5.57,4.06,10.73,7.05
Mustelidae ,Martes pennati ,Martes_pennanti,115.16,79.76,7.81,4.83,3.22,2.98,5.1,2.77,6.44,3.26,11.5,7.56,6.64,10.68,7.19,4.87,2.76,1.93,5.56,2.77,6.76,2.85,7.56,3.53,2.84,5.04
Mustelidae ,Taxidea taxus ,Taxidea_taxus,117.81,76.04,6.79,5.42,,,3.94,2.72,6.48,4.75,11.5,10.45,10.58,9.94,7.26,5.33,,,3.97,2.49,5.73,3.01,7.24,4.29,2.38,5.73
Mustelidae ,Lutra canadensis ,Lontra_canadensis,116.49,70.36,6.3,5.48,1.7,1.1,4.32,3.45,6.43,5.06,2.65,9.64,9.33,2.3,7.91,5.6,2.3,2.72,4.63,3.36,5.44,3.98,7.31,4.97,4.11,8.68
Mustelidae ,Meles meles ,Meles_meles,127.54,81.94,7.45,5.93,,,4.31,2.75,5.89,3.76,7.96,7.59,13.13,11.44,7.89,5.88,,,4.83,2.97,5.49,3.21,6.13,3.92,14.74,7.54
Mustelidae ,Mellivora capensis,Mellivora_capensis,131.82,77.58,7.02,5.48,,,3.48,4.91,6.75,5.29,11.86,8.93,5.09,9.47,6.97,6,,,5.06,3.68,6.15,4.83,9.09,5.97,12.98,6.13
Mustelidae ,Spilogale putorius ,Spilogale_putorius,55.34,34.6,3,1.89,,,0.99,0.99,2.5,1.44,6.65,3.63,4.8,5.44,3.16,2.39,,,1.98,1.33,2.35,1.69,3.07,2.02,7.82,3.07
Mustelidae ,Martes flavigula ,Martes_flavigula,73.05,47.44,3.4,2.1,1.94,1.4,3.67,2.38,3.92,2.98,6.57,4.56,4.34,6.77,3.66,2.44,2.11,1.16,3.21,1.85,3.85,1.94,4.35,2.46,5.77,3.42
Mustelidae ,Gulo gulo,Gulo_gulo,150.73,5.44,10.98,8.97,3.7,3.89,6.65,4.22,9.88,6.58,20.09,12.52,7.9,14.14,12,10.26,3.11,3.48,6.19,4.25,8.43,5.16,10.56,7.5,22.22,10.09
Mustelidae ,Mustela sibirica ,Mustela_sibirica,63.25,34.75,3.5,2.5,,,2.56,1.36,3.55,1.66,6.58,3.71,3.37,5.52,3.2,2.63,,,2.69,1.51,3.36,1.92,4.15,2.01,6.67,2.61
Viveridae,Vivera civetta,Civettictis_civetta,,106.99,6.49,4.84,4.99,3.12,7.26,4.58,8.23,5.34,13.15,10.28,9.75,14.67,6.78,5.12,3.96,2.93,7.24,4.25,,,10.71,6.74,13.57,8.94
Viveridae,Nadinia binotata,Nandinia_binotata,97.01,66.15,5.04,3.58,2.33,1.36,3.71,2.1,4.25,2.5,6.98,4.34,4.13,5.45,5.2,3.17,2.33,1.21,4.15,2.16,4.43,2.66,4.98,2.96,6.64,3.97
